,MW,MVAr,,,MW,MVAr,MW %,,,,,,,,,,,
K-M Complex Hydro,281.3,63.9,,"2Hydro",1223.6,143,48.80%,,,,,,,,,,,
Mahaweli Complex Hydro,689.252.3,,Thermal Coal,466.2,72.2,18.60%,,,,,,,,,,,,
Samanala Hydro,154.5,26.8,,Thermal Oil,192,70.5,7.70%,,,,,,,,,,,
CEB Small Hydro,8.7,0,,IPP Thermal,617.2,114.9,24.60%,,,,,,,,,,,
CEB Thermal - Coal,466.2,72.2,,Wind,8,0,0.30%,,,,,,,,,,,
CEB Thermal- Oil,192,70.5,,Solar PV(Bulk),0,0,0.00%,,,,,,,,,,,
IPP Thermal,617.2,114.9,,Capacitors,,79.2,,,,,,,,,,,,
"2IPP  (MHP+BMP)",89.9,N/A,,Total,2507,479.8,pf -0.98@19:00h,,,,,,,,,,,
Wind,8,0,,"22Day Peak  and Minimum  Generation",,,,,,,,,,,,,,
,,,,,MW,MVAr,,,,,,,,,,,,
Capacitors,-,79.2,,"2Minimum Generation",1379.4,-31.1,pf -1.00@3:15h,,,,,,,,,,,
,"2Day peak Generation",2159.4,728.3,pf -0.95@16:00h,,,,,,,,,,,,,,
"Hydrology- Hydro Storage, Rainfall, Inflow",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
20162019,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
20162019,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Night Night,Energy/,,,,,,,Night Night,Energy/,,,,,,,
,,,,Outage,Due,,,,,,,,,,Outage Due,,,
Station,,peak peak,Day,,,,Remarks,Station,,peak peak,Day,,,,,,,Remarks
,,,,Date,Date,,,,,,,,,,Date Date,,,
,,(MW) (MVAr),(MWh),,,,,,,(MW) (MVAr),(MWh),,,,,,,
,,,CEB HYDRO,,,,,,,,,,,CEB THERMAL,,,,
Laxapana Complex,,,,,,,,Kelanithissa,,,,,,,,,,
,1,10 2,102 25,,,,,,1,0 0,0,18,,,,,,
Wimalasurendra,,,,,,,,,,,,,,,,,,
,2,10 1,252 25,,,,,,2,0 0,0,17,,,,,,
,1,0.0 0,0 0 FO,24.08.20,-,Unit TF testing,,,4,0 0,0,0,,FO,17.01.17 -,,Turbine vibration,
,,,,,,,,KPS Gas,,,,,,,,,,
,2,9.6 1,232 9.6,,,,,,5,0 0,0,0,,FO,23.01.19 -,,Fire hazard inspection,
Old Laxapana,3,9.7 1,233 9.6,,,,,,7,0 0,0,115,,,,,,
,,,,,,,,,,,Unit,,,,,,,
,4,9.9 2,240 12.5,,,,,,,,,,,,,,,
,5,12.3 2,298 12.5,,,,,KCCP GT,1,0 0,0,0,,FO,14.10.19 -,,GT Rotor failure,
,1,30 3,621 30,,,Plant availability is limited to 30 MW due,,KCCP STEAM,1,0 0,0,0,,PM,28.06.19 -,,ST and STG major overhaul,
Canyon,,,,,,,,,,,,,,,,,,
,2,0 0,0 30,,,to problem in headrace tunnel.,,Sapugaskanda,,,,,,,,,,
,1,56 19,972 58,,,,,,1,16 11,324,18,,,,,,
New Laxapana,,,,,,,,,,,,,,,,,,
,2,48 20,913 50,,,,,,2,0 0,0,0,,PM,01.06.20 30.09.20,,24000hrs maintenance,
,,,,,,,,Sapu. Station - A,,,,,,,,,,
